Series_Name,Country_Name,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015
Current health expenditure per capita (current US$),Afghanistan,..,..,15.80316353,17.03574371,20.4127636,23.89050102,27.83657074,31.27183914,38.10266113,41.72274399,44.99053192,50.85347366,51.44026184,55.03462982,59.00893402,58.90652847
Current health expenditure per capita (current US$),Albania,80.61695099,89.58073425,96.27111816,125.9879761,156.5681763,165.2653351,174.5302429,222.3036652,220.4642487,186.4428101,192.0032196,211.0755158,213.7197418,236.957962,251.3582611,192.8851318
Current health expenditure per capita (current US$),Algeria,61.58218002,66.80211639,66.46335602,75.7433548,92.50652313,100.713829,116.7143173,150.9656372,206.8851929,208.1199188,229.2894592,287.3861084,335.5619507,331.9416809,359.6421204,291.5535584
Current health expenditure per capita (current US$),Angola,12.99896717,28.91812134,29.04936409,34.87518692,49.81074142,54.26077652,69.81230164,92.86030579,135.6058197,119.9962845,96.69701385,122.1072311,122.185585,143.6068726,131.6476593,108.5829392
Current health expenditure per capita (current US$),Antigua and Barbuda,512.5682983,563.7371216,550.0645752,602.6936035,585.7212524,626.7166748,648.2271118,694.536438,673.8375244,591.4252319,701.8178101,693.807251,727.256958,711.2297974,792.8414917,754.2418823
Current health expenditure per capita (current US$),Argentina,708.7695313,675.0578613,223.8486023,262.2865906,311.6450501,392.5887451,455.7980957,572.0401001,746.4932861,785.6702271,985.0344238,1208.391602,1368.422974,1421.657593,1286.217651,1531.484253
Current health expenditure per capita (current US$),Armenia,26.12908936,32.25933838,59.63238907,66.77802277,72.17178345,96.35484314,126.252945,172.6018677,266.3115845,252.8356018,297.2290649,330.5755615,336.3205566,396.232544,405.7288818,364.9728088
Current health expenditure per capita (current US$),Australia,1638.814941,1564.166504,1770.466187,2249.290771,2767.136963,3013.087646,3184.807617,3799.737549,4090.761963,3995.340088,4945.038086,5861.702637,6025.344727,5813.985352,5607.917969,4860.37207
Current health expenditure per capita (current US$),Austria,2269.126465,2282.515869,2497.865967,3091.240234,3594.650391,3710.397949,3882.981934,4478.768555,5057.760742,4928.987793,4800.793457,5167.817871,4966.095703,5235.341309,5393.602051,4612.824219
Current health expenditure per capita (current US$),Azerbaijan,19.14171791,19.18987465,20.59066963,23.80161095,27.38257599,35.07611465,50.24787903,75.39520264,107.3614349,129.7258606,145.8452606,176.4084778,222.9855194,239.9508057,267.3097229,226.510025
Current health expenditure per capita (current US$),Bahamas,1030.968994,1078.694458,1100.532593,1138.740601,1148.942383,1220.788208,1323.530884,1415.036743,1489.427246,1470.687744,1495.231323,1491.041626,1568.287964,1609.317993,1670.240356,1635.882935
Current health expenditure per capita (current US$),Bahrain,485.6864624,484.9073486,503.0300598,567.2379761,550.3598023,570.2942505,591.3112793,692.9683228,757.736145,785.2603149,796.3184204,805.3147583,971.3684692,1066.132446,1101.256836,1128.759155
