"iso2c","country","year","life_expectancy","mortality_infant","mortality_adult_f","mortality_adult_m","mortality_under_5","malaria_deaths","cvd_cancer_diabetes_crd_death_perc","aids_hiv_deaths","gdp","population","dom_gvt_health_exp","gvt_health_exp","iso3c","region","capital","longitude","latitude","income","lending"
"AD","Andorra",2008,NA,NA,NA,NA,NA,NA,NA,NA,4085630584.44412,83860,1851.51330566,NA,"AND","Europe & Central Asia","Andorra la Vella","1.5218","42.5075","High income","Not classified"
"AD","Andorra",2014,NA,NA,NA,NA,NA,NA,NA,NA,3271808157.30038,79213,1725.14086914,NA,"AND","Europe & Central Asia","Andorra la Vella","1.5218","42.5075","High income","Not classified"
"AD","Andorra",2011,NA,NA,NA,NA,NA,NA,NA,NA,3629203786.19154,83748,1759.51586914,NA,"AND","Europe & Central Asia","Andorra la Vella","1.5218","42.5075","High income","Not classified"
"AD","Andorra",2009,NA,NA,NA,NA,NA,NA,NA,NA,3674409558.21061,84461,1858.54858398,NA,"AND","Europe & Central Asia","Andorra la Vella","1.5218","42.5075","High income","Not classified"
"AD","Andorra",2003,NA,NA,NA,NA,NA,NA,NA,NA,2361726862.30248,73180,1174.12194824,NA,"AND","Europe & Central Asia","Andorra la Vella","1.5218","42.5075","High income","Not classified"
"AD","Andorra",2005,NA,NA,NA,NA,NA,NA,NA,NA,3159905484.39249,78871,1495.56604004,NA,"AND","Europe & Central Asia","Andorra la Vella","1.5218","42.5075","High income","Not classified"
"AD","Andorra",2015,NA,NA,NA,NA,NA,NA,NA,NA,2789870187.50693,77993,1549.63122559,NA,"AND","Europe & Central Asia","Andorra la Vella","1.5218","42.5075","High income","Not classified"
"AD","Andorra",2010,NA,NA,NA,NA,NA,NA,NA,NA,3449966856.68832,84454,1866.29211426,NA,"AND","Europe & Central Asia","Andorra la Vella","1.5218","42.5075","High income","Not classified"
"AD","Andorra",2004,NA,NA,NA,NA,NA,NA,NA,NA,2894921777.99851,76250,1279.09216309,NA,"AND","Europe & Central Asia","Andorra la Vella","1.5218","42.5075","High income","Not classified"
"AD","Andorra",2013,NA,NA,NA,NA,NA,NA,NA,NA,3193704343.20627,80770,1627.33447266,NA,"AND","Europe & Central Asia","Andorra la Vella","1.5218","42.5075","High income","Not classified"
"AD","Andorra",2006,NA,NA,NA,NA,NA,NA,NA,NA,3456442102.622,80995,1309.37939453,NA,"AND","Europe & Central Asia","Andorra la Vella","1.5218","42.5075","High income","Not classified"
"AD","Andorra",2012,NA,NA,NA,NA,NA,NA,NA,NA,3188808942.56713,82427,1574.37573242,NA,"AND","Europe & Central Asia","Andorra la Vella","1.5218","42.5075","High income","Not classified"
"AD","Andorra",2007,NA,NA,NA,NA,NA,NA,NA,NA,3952600602.24473,82682,1451.70739746,NA,"AND","Europe & Central Asia","Andorra la Vella","1.5218","42.5075","High income","Not classified"
"AD","Andorra",2002,NA,NA,NA,NA,NA,NA,NA,NA,1755910031.99699,70048,1020.4407959,NA,"AND","Europe & Central Asia","Andorra la Vella","1.5218","42.5075","High income","Not classified"
"AD","Andorra",2000,NA,NA,NA,NA,NA,NA,NA,NA,1429049198.45218,65390,852.42053223,NA,"AND","Europe & Central Asia","Andorra la Vella","1.5218","42.5075","High income","Not classified"
"AD","Andorra",2001,NA,NA,NA,NA,NA,NA,NA,NA,1546926174.49664,67344,877.02697754,NA,"AND","Europe & Central Asia","Andorra la Vella","1.5218","42.5075","High income","Not classified"
"AE","United Arab Emirates",2000,74.327,NA,85.943,111.566,NA,NA,24.4,NA,104337372362.151,3134067,541.71032715,NA,"ARE","Middle East & North Africa","Abu Dhabi","54.3705","24.4764","High income","Not classified"
"AE","United Arab Emirates",2002,74.758,NA,79.49,105.374,NA,NA,23.9,NA,109816201497.617,3478769,525.28967285,NA,"ARE","Middle East & North Africa","Abu Dhabi","54.3705","24.4764","High income","Not classified"
"AE","United Arab Emirates",2008,75.957,NA,63.499,90.298,NA,NA,21.6,NA,315474615738.598,7089486,832.84234619,NA,"ARE","Middle East & North Africa","Abu Dhabi","54.3705","24.4764","High income","Not classified"
"AE","United Arab Emirates",2009,76.145,NA,62.424,88.77,NA,NA,21.3,NA,253547358747.447,7917368,955.64990234,NA,"ARE","Middle East & North Africa","Abu Dhabi","54.3705","24.4764","High income","Not classified"
